d,n,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
10,10,0.01,1207153193.0316641,1550620038.0532267,1153373309.2843065,1641954985.5785043,2077378297.1514583,3267113371.806288,1990456451.3144898,3494161300.3852606
10,10,0.05,10673149.71201795,13887342.725868266,10233814.641550757,14702241.403442314,17424572.33158771,28270880.379179087,16750364.449470913,29528937.554633096
10,10,0.1,1425491.409392729,1771631.8170205285,1372716.1179684745,1912687.702448926,2259824.225141456,3517892.7171888445,2192526.351925033,3734054.6009000987
10,10,0.3,59737.84304929012,79216.76648458792,58211.93445164408,84184.40616355166,97359.35752263926,155706.72767541473,94267.48161839152,165224.31576952073
10,10,0.5,13919.895581074414,18411.68511131559,13561.567190455547,19730.210916343574,23130.215528694098,38786.45700550184,22470.003132412086,41520.277239845454
10,10,0.7,5325.157997046167,6675.906873159946,5125.67056233279,7084.179254197587,8877.528958103821,14044.974113459733,8710.500237236663,15155.89392567503
10,10,0.9,2646.5251492969055,3415.110133976806,2567.653943203492,3688.5991943932463,4482.401882397786,7203.828971586417,4383.642018174361,7842.1542674477505
10,10,1.0,2003.3828414918166,2661.1663364291403,1949.0389586944864,2889.152829853345,3273.9949411112825,5202.052421607406,3207.394634224118,5678.628021241362
10,10,1.1,1551.166093336681,1970.4566005395784,1489.7643867841475,2085.9947210786077,2569.827862644672,4033.2678688277942,2514.055190853291,4344.567621053736
10,10,1.3,989.0517481808156,1272.6089253722332,958.0121133285437,1369.1459053777457,1569.6734941552222,2580.8888487487015,1533.0432341773726,2826.0289050973765
10,10,1.5,675.2848567109216,895.2918047793968,659.7247190372336,977.7575571309695,1109.230170619181,1762.2690726687924,1093.706668262942,1926.2814888849891
10,50,0.01,49852573.32505632,65241461.984135516,44376764.089021266,58435796.32789709,70213614.3626483,98895491.63293639,62053064.8326647,87228988.11395739
10,50,0.05,430729.7380063882,567382.8598135115,382855.64262453996,499493.2185511802,609620.6636929229,860151.6752212234,537695.6091431539,762820.891195559
10,50,0.1,56060.89848785489,72933.16292184644,49654.90026742909,64552.72591978808,80965.82288621561,112067.12742311414,72010.85711797608,99243.61176975991
10,50,0.3,2377.137239253718,3128.861750520675,2113.5677154813616,2774.2655071524628,3344.206721322554,4589.275381974925,2959.8022586607767,4028.5819943544975
10,50,0.5,562.1080686228294,761.2072128870024,497.0556166658135,674.4703487192701,786.2845076631728,1109.1321921541235,696.5968679613301,983.5363989993648
10,50,0.7,215.3307913401601,275.55706874134785,191.16932470524887,243.36303729122687,309.89313847767494,435.6606378951861,275.1444997163136,389.389156937206
10,50,0.9,109.78195381738111,148.53905239362643,97.33030621599706,131.6147010521239,153.61547047887117,210.4970660681641,135.8697904518604,185.3849738107569
10,50,1.0,81.72843076265427,109.42132868356185,72.13561486014595,95.71231848454826,114.82909529244206,162.20155852628744,101.87488884099493,143.23299894506533
10,50,1.1,62.22257604899775,83.85474214534622,55.27357333541091,74.42207743676448,87.65682130085246,122.66365590843036,77.58693792283819,108.047832097806
10,50,1.3,38.432421616546385,49.276928065660634,34.103559775847465,43.50691631447556,55.04126962678038,75.69066125325595,48.81158410374628,67.12075614765172
10,50,1.5,26.93146856556692,34.58745045889008,23.932275818980372,30.52455577922377,37.83132148821191,54.94494329913803,33.74465137541184,48.84731257470452
10,100,0.01,12015052.943094904,15372520.049302634,11223171.780663943,14247811.67212284,16212231.63694398,21531167.962270092,15177528.679567663,19776362.27380175
10,100,0.05,103227.2627663827,131021.89937596588,95463.95077381721,119660.60010285082,139426.70320130748,182178.75559456626,130001.27144619165,169674.0654334401
10,100,0.1,14040.670626771565,17676.510271237516,13242.04104736099,16646.06415383585,18772.768709236756,24956.615287245146,17447.854904308067,22789.99748700307
10,100,0.3,588.235116940525,751.7926179844071,545.6646543546218,692.9795787736281,807.4807687915114,1048.535967795397,755.0032473326369,976.539381510234
10,100,0.5,135.57344475814563,174.6032373443913,126.81257571582377,161.05972361757165,180.63764471203243,229.12715190713445,168.23164865883786,213.5632146579341
10,100,0.7,54.270947853332395,71.47873132811098,50.40016679620386,65.89390779461091,73.31467769165157,98.41392833940138,68.27762034139316,90.54964957967063
10,100,0.9,26.560129816062066,34.29886724532117,24.575465829441438,31.481338517171,35.38360620221285,47.38112008176461,33.203694402127574,43.700540313957305
10,100,1.0,19.73586955750761,25.530530124961203,18.500370723578158,23.733819600507594,27.50323405622377,37.848513896606434,25.665390069488982,35.3320579557218
10,100,1.1,15.054735442708537,19.14484113153885,14.116575525689413,17.885470584910653,20.277696007772146,26.3050283275282,19.03059486103403,24.479161422603273
